"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id"
"2730","62730","MONROE & WARBURTON","","37.356133040000003","-121.9522822","1"
"2577","62577","LAFAYETTE & COMSTOCK","","37.375402180000002","-121.9500894","1"
"2422","62422","CENTRAL & OWENS-CORNING","","37.374259700000003","-121.9543865","1"
"2423","62423","CENTRAL & LAFAYETTE","","37.373972770000002","-121.9491244","1"
"2482","62482","CENTRAL & LAFAYETTE","","37.374500089999998","-121.9512148","1"
"2613","62613","ALDO & LAFAYETTE","","37.383317030000001","-121.9500943","1"
"2579","62579","ALDO & LAFAYETTE","","37.383166209999999","-121.9501183","1"
"2614","62614","LAFAYETTE & LAURELWOOD","","37.379303110000002","-121.9490267","1"
"2578","62578","LAFAYETTE & LAURELWOOD","","37.379019909999997","-121.9484779","1"
"2609","62609","DE LA CRUZ & CLYDE","","37.39249435","-121.94681780000001","1"
"4591","64591","MONTAGUE & DE LA CRUZ","","37.392766289999997","-121.94811249999999","1"
"4571","64571","MONTAGUE & DE LA CRUZ","","37.393011999999999","-121.946479","1"
"4509","64509","TASMAN & CHAMPION CT","","37.409892079999999","-121.95309","1"
"2581","62581","DE LA CRUZ & ALDO","","37.386524889999997","-121.94384340000001","1"
"2611","62611","DE LA CRUZ & ALDO","","37.386295029999999","-121.943922","1"
"2580","62580","ALDO & WOODWARD","","37.385187999999999","-121.94541289999999","1"
"2612","62612","ALDO & WOODWARD","","37.385165190000002","-121.945763","1"
"2583","62583","DE LA CRUZ & MONTAGUE","","37.39267392","-121.9467169","1"
"2606","62606","1ST & RIVER OAKS","","37.40160711","-121.9394118","1"
"1985","61985","RIVER OAKS & 1ST","","37.402259729999997","-121.9388119","1"
"5641","65641","1ST & RIVER OAKS","","37.402427670000002","-121.93959049999999","1"
"1368","61368","1ST & NICHOLSON","","37.41103399","-121.94697240000001","1"
"2603","62603","1ST & NICHOLSON","","37.410247949999999","-121.94626150000001","1"
"1367","61367","1ST & TASMAN","","37.40964683","-121.9449238","1"
"4507","64507","TASMAN & 1ST","","37.409089999999999","-121.9455166","1"
"2604","62604","TASMAN & 1ST","","37.409470689999999","-121.94394629999999","1"
"1377","61377","TASMAN & BAYPOINTE","","37.411065010000002","-121.9406012","1"
"1366","61366","TASMAN & BAYPOINTE","","37.410942079999998","-121.94180299999999","1"
"5642","65642","1ST & RIO ROBLES","","37.405735020000002","-121.94247439999999","1"
"5650","65650","1ST & RIO ROBLES","","37.405923999999999","-121.94219699999999","1"
"5331","65331","ZANKER & HWY 237","","37.418522600000003","-121.9390215","1"
"1372","61372","HOLGER & HEADQUARTES (MD)","","37.418961735964601","-121.94846948189399","1"
"1373","61373","HOLGER & ZANKER","","37.419037000000003","-121.94125200000001","1"
"5702","65702","HOLGER & ZANKER (MD)","","37.419069494906097","-121.94913535057501","1"
"5703","65703","HOLGER & ZANKER","","37.418869000000001","-121.94053599999999","1"
